stopwords
eusses
as
son
étées
eue
et
fussent
n
des
ton
eues
serais
eussions
ne
nos
ayantes
toi
qui
tes
leur
étantes
soyons
aurions
pas
fusses
en
ai
ou
tu
par
aurez
soyez
avions
étais
dans
on
ayants
eusse
avez
ont
aurait
ils
été
ayez
même
ta
ce
t
avait
une
notre
du
nous
étée
lui
auront
elle
les
eussent
furent
avais
pour
serez
avec
ayante
serons
moi
aux
étaient
aies
fussions
est
ma
sur
étiez
ses
me
fûmes
auriez
seront
ait
mais
étante
eûtes
c
eurent
était
vos
sera
eut
fut
étant
qu
sa
se
sont
serai
aie
ayons
aura
seraient
aient
eux
aurais
aviez
d
vous
sois
te
mes
seras
fusse
fussiez
un
mon
sommes
le
l
aurons
j
seriez
s
eûmes
serait
soit
eussiez
avons
fus
aurai
à
suis
êtes
soient
eu
étions
que
il
étants
y
fûtes
m
fût
auraient
votre
eus
ayant
ces
es
auras
je
au
avaient
eût
étés
la
serions
de
a
